INDEX,YEAR,MN,DT,RF,week
42933,2015,9,23,0.0,38
42933,2015,9,24,0.0,39
42933,2015,9,25,0.0,39
42933,2015,9,26,0.0,39
42933,2015,9,27,0.0,39
42933,2015,9,28,0.0,39
42933,2015,9,29,5.8,39
42933,2015,9,30,0.0,39
42933,2015,10,1,0.0,40
42933,2015,10,2,0.0,40
42933,2015,10,3,5.2,40
42933,2015,10,4,0.0,40
42933,2015,10,5,0.0,40
42933,2015,10,6,0.0,40
42933,2015,10,7,0.0,40
42933,2015,10,8,0.0,41
42933,2015,10,9,0.0,41
42933,2015,10,10,0.0,41
42933,2015,10,11,0.0,41
42933,2015,10,12,0.0,41
42933,2015,10,13,0.0,41
42933,2015,10,14,0.0,41
42933,2015,10,15,0.0,42
42933,2015,10,16,0.0,42
42933,2015,10,17,0.2,42
42933,2015,10,18,0.0,42
42933,2015,10,19,0.0,42
42933,2015,10,20,0.0,42
42933,2015,10,21,0.0,42
42933,2015,10,22,0.0,43
42933,2015,10,23,0.0,43
42933,2015,10,24,0.0,43
42933,2015,10,25,0.0,43
42933,2015,10,26,0.0,43
42933,2015,10,27,0.0,43
42933,2015,10,28,0.0,43
42933,2015,10,29,0.0,44
42933,2015,10,30,0.0,44
42933,2015,10,31,0.0,44
42933,2015,11,1,0.0,44
42933,2015,11,2,0.0,44
42933,2015,11,3,0.0,44
42933,2015,11,4,0.0,44
42933,2015,11,5,0.0,45
42933,2015,11,6,0.0,45
42933,2015,11,7,0.0,45
42933,2015,11,8,0.0,45
42933,2015,11,9,0.0,45
42933,2015,11,10,0.0,45
42933,2015,11,11,0.0,45
42933,2015,11,12,0.0,46
42933,2015,11,13,0.0,46
42933,2015,11,14,0.0,46
42933,2015,11,15,0.0,46
42933,2015,11,16,0.0,46
42933,2015,11,17,0.0,46
42933,2015,11,18,0.0,46
42933,2015,11,19,0.0,47
42933,2015,11,20,0.0,47
42933,2015,11,21,0.0,47
42933,2015,11,22,0.0,47
42933,2015,11,23,0.0,47
42933,2015,11,24,0.0,47
42933,2015,11,25,0.0,47
42933,2015,11,26,0.0,48
42933,2015,11,27,0.0,48
42933,2015,11,28,0.0,48
42933,2015,11,29,0.0,48
42933,2015,11,30,0.0,48
42933,2015,12,1,0.0,48
42933,2015,12,2,0.0,48
42933,2015,12,3,0.0,49
42933,2015,12,4,0.0,49
42933,2015,12,5,0.0,49
42933,2015,12,6,0.0,49
42933,2015,12,7,0.0,49
42933,2015,12,8,0.0,49
42933,2015,12,9,0.0,49
42933,2015,12,10,0.0,50
42933,2015,12,11,0.0,50
42933,2015,12,12,0.0,50
42933,2015,12,13,0.0,50
42933,2015,12,14,0.0,50
42933,2015,12,15,0.0,50
42933,2015,12,16,0.0,50
42933,2015,12,17,0.0,51
42933,2015,12,18,0.0,51
42933,2015,12,19,0.0,51
42933,2015,12,20,0.0,51
42933,2015,12,21,0.0,51
42933,2015,12,22,0.0,51
42933,2015,12,23,0.0,51
42933,2015,12,24,0.0,52
42933,2015,12,25,0.0,52
42933,2015,12,26,0.0,52
42933,2015,12,27,0.0,52
42933,2015,12,28,0.0,52
42933,2015,12,29,0.0,52
42933,2015,12,30,0.0,52
42933,2015,12,31,0.0,53
42933,2016,1,1,0.0,1
42933,2016,1,2,0.0,1
42933,2016,1,3,0.0,1
42933,2016,1,4,0.0,1
42933,2016,1,5,0.0,1
42933,2016,1,6,0.0,1
42933,2016,1,7,0.0,1
42933,2016,1,8,0.0,2
42933,2016,1,9,0.0,2
42933,2016,1,10,0.0,2
42933,2016,1,11,0.0,2
42933,2016,1,12,0.0,2
42933,2016,1,13,0.0,2
42933,2016,1,14,0.0,2
42933,2016,1,15,0.0,3
42933,2016,1,16,0.0,3
42933,2016,1,17,0.0,3
42933,2016,1,18,0.0,3
42933,2016,1,19,0.0,3
42933,2016,1,20,0.0,3
42933,2016,1,21,0.0,3
42933,2016,1,22,0.0,4
42933,2016,1,23,0.0,4
42933,2016,1,24,0.0,4
42933,2016,1,25,0.0,4
42933,2016,1,26,0.0,4
42933,2016,1,27,0.0,4
42933,2016,1,28,0.0,4
42933,2016,1,29,0.0,5
42933,2016,1,30,0.0,5
42933,2016,1,31,0.0,5
42933,2016,2,1,0.0,5
42933,2016,2,2,0.0,5
42933,2016,2,3,0.0,5
42933,2016,2,4,0.0,5
42933,2016,2,5,0.0,6
42933,2016,2,6,0.0,6
42933,2016,2,7,0.0,6
42933,2016,2,8,0.0,6
42933,2016,2,9,0.0,6
42933,2016,2,10,0.0,6
42933,2016,2,11,0.0,6
42933,2016,2,12,0.0,7
42933,2016,2,13,0.0,7
42933,2016,2,14,0.0,7
42933,2016,2,15,0.0,7
42933,2016,2,16,0.0,7
42933,2016,2,17,0.0,7
42933,2016,2,18,0.0,7
42933,2016,2,19,0.0,8
42933,2016,2,20,0.0,8
42933,2016,2,21,0.0,8
42933,2016,2,22,0.0,8
42933,2016,2,23,0.0,8
42933,2016,2,24,0.0,8
42933,2016,2,25,0.0,8
42933,2016,2,26,0.0,9
42933,2016,2,27,0.0,9
42933,2016,2,28,0.0,9
42933,2016,2,29,0.0,9
42933,2016,3,1,0.0,9
42933,2016,3,2,0.0,9
42933,2016,3,3,0.0,9
42933,2016,3,4,0.0,10
42933,2016,3,5,0.0,10
42933,2016,3,6,0.0,10
42933,2016,3,7,0.0,10
42933,2016,3,8,0.0,10
42933,2016,3,9,0.0,10
42933,2016,3,10,0.0,10
42933,2016,3,11,0.0,11
42933,2016,3,12,0.0,11
42933,2016,3,13,0.0,11
42933,2016,3,14,0.0,11
42933,2016,3,15,0.0,11
42933,2016,3,16,0.0,11
42933,2016,3,17,0.0,11
42933,2016,3,18,0.0,12
42933,2016,3,19,0.0,12
42933,2016,3,20,0.0,12
42933,2016,3,21,0.0,12
42933,2016,3,22,0.0,12
42933,2016,3,23,0.0,12
42933,2016,3,24,0.0,12
42933,2016,3,25,0.0,13
42933,2016,3,26,0.0,13
42933,2016,3,27,0.8,13
42933,2016,3,28,0.4,13
42933,2016,3,29,0.0,13
42933,2016,3,30,0.0,13
42933,2016,3,31,0.0,13
42933,2016,4,1,0.0,14
42933,2016,4,2,0.0,14
42933,2016,4,3,0.0,14
42933,2016,4,4,0.0,14
42933,2016,4,5,0.0,14
42933,2016,4,6,0.0,14
42933,2016,4,7,0.0,14
42933,2016,4,8,0.0,15
42933,2016,4,9,0.0,15
42933,2016,4,10,0.0,15
42933,2016,4,11,0.0,15
42933,2016,4,12,0.0,15
42933,2016,4,13,0.0,15
42933,2016,4,14,0.0,15
42933,2016,4,15,0.0,16
42933,2016,4,16,0.0,16
42933,2016,4,17,0.0,16
42933,2016,4,18,0.0,16
42933,2016,4,19,0.0,16
42933,2016,4,20,0.0,16
42933,2016,4,21,0.0,16
42933,2016,4,22,0.0,17
42933,2016,4,23,0.0,17
42933,2016,4,24,0.0,17
42933,2016,4,25,0.0,17
42933,2016,4,26,0.0,17
42933,2016,4,27,0.0,17
42933,2016,4,28,0.0,17
42933,2016,4,29,0.0,18
42933,2016,4,30,0.0,18
42933,2016,5,1,0.0,18
42933,2016,5,2,0.0,18
42933,2016,5,3,0.0,18
42933,2016,5,4,0.0,18
42933,2016,5,5,0.0,18
42933,2016,5,6,0.0,19
42933,2016,5,7,12.3,19
42933,2016,5,8,0.0,19
42933,2016,5,9,0.0,19
42933,2016,5,10,0.0,19
42933,2016,5,11,0.0,19
